1,명량,2014-07-30,"135,757,418,810","17,615,686","1,587","188,720",한국,한국,(주)씨제이이엔엠
2,극한직업,2019-01-23,"139,655,543,516","16,266,338","2,003","292,816",한국,한국,(주)씨제이이엔엠
3,신과함께-죄와 벌,2017-12-20,"115,727,528,087","14,414,658","1,912","214,631",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
4,국제시장,2014-12-17,"110,944,607,730","14,263,980","1,044","212,696",한국,한국,(주)씨제이이엔엠
5,어벤져스: 엔드게임,2019-04-24,"122,492,181,020","13,977,602","2,835","246,433",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,겨울왕국 2,2019-11-21,"114,810,421,450","13,747,792","2,648","299,334",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,베테랑,2015-08-05,"105,170,856,250","13,414,484","1,115","199,307",한국,한국,(주)씨제이이엔엠
8,아바타,2009-12-17,"125,304,346,000","13,338,863",917,"164,457",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
9,도둑들,2012-07-25,"93,672,497,700","12,984,701","1,091","155,487",한국,"한국,홍콩",(주)쇼박스
10,7번방의 선물,2013-01-23,"91,437,368,170","12,812,144",866,"167,013",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,알라딘,2019-05-23,"108,160,549,039","12,723,777","1,409","282,221",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,암살,2015-07-22,"98,468,525,781","12,706,829","1,519","175,214",한국,한국,(주)쇼박스
13,"광해, 왕이 된 남자",2012-09-13,"88,913,283,469","12,324,062","1,001","203,464",한국,한국,(주)씨제이이엔엠
14,신과함께-인과 연,2018-08-01,"102,688,367,539","12,277,868","2,235","180,737",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
15,택시운전사,2017-08-02,"95,871,553,649","12,189,698","1,906","184,204",한국,한국,(주)쇼박스
16,부산행,2016-07-20,"93,187,397,548","11,567,662","1,788","151,530",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
17,변호인,2013-12-18,"82,874,748,788","11,375,123",925,"152,284",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
18,해운대,2009-07-22,"81,027,925,000","11,324,958",764,"154,329",한국,한국,CJ ENM
19,어벤져스: 인피니티 워,2018-04-25,"100,081,428,549","11,233,176","2,553","243,677",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
20,괴물,2006-07-27,"66,717,700,300","10,917,400",647,"113,105",한국,한국,(주)쇼박스
21,왕의 남자,2005-12-29,"66,019,904,400","10,514,177",313,"111,193",한국,한국,(주)시네마서비스
22,어벤져스: 에이지 오브 울트론,2015-04-23,"88,640,214,246","10,504,007","1,843","194,351",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
23,인터스텔라,2014-11-06,"82,837,208,500","10,326,240","1,410","170,192",미국,"미국,영국",워너브러더스 코리아(주)
24,기생충,2019-05-30,"87,460,625,095","10,313,163","1,948","206,398",한국,한국,(주)씨제이이엔엠
25,겨울왕국,2014-01-16,"82,521,307,080","10,303,058","1,010","157,838",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
26,보헤미안 랩소디,2018-10-31,"86,280,975,785","9,948,386","1,179","232,226",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
27,검사외전,2016-02-03,"77,320,403,264","9,707,581","1,812","153,532",한국,한국,(주)쇼박스
28,엑시트,2019-07-31,"79,234,931,162","9,426,421","1,660","202,238",한국,한국,(주)씨제이이엔엠
29,설국열차,2013-08-01,"67,035,020,000","9,353,799","1,128","125,777",한국,"한국,체코",(주)씨제이이엔엠
30,관상,2013-09-11,"66,009,826,500","9,135,806","1,240","125,107",한국,한국,(주)쇼박스
31,아이언맨 3,2013-04-25,"70,809,259,500","9,001,679","1,389","163,596",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
